Policy Area,Need Group,Agency,Type,Need,Request
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of canine waste laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of dirty sidewalk/dirty area/failure to clean area laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of failure to store receptacle laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of illegal dumping laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of illegal posting laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of recycling laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Other enforcement requests
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of street vending
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation enforcement,Increase enforcement of Set-out laws
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Snow removal,Improve snow removal
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Increase cleaning of dump-out/drop-off locations
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Increase vacant lot cleaning
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Other cleaning requests
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Provide more frequent litter basket collection
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Increase Highway/Ramp cleaning
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Increase Graffiti Removal/Cleaning
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Other capital budget request for DSNY
"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Other expense budget request for DSNY
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Other zoning and land use requests
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Planning support for previously approved land use or zoning actions
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Planning support for capital investments
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,"Increased community board training, including on core land use process and practices "
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,"As needed Land use planning, technical and urban design support"
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better provide for future neighborhood needs like affordable housing and job growth
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use, Create a neighborhood plan in coordination with the community
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of Buildings (DOB),Expense,Building code and zoning enforcement,Address illegal conversions and uses of buildings
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of Buildings (DOB),Expense,Building code and zoning enforcement,Assign additional building inspectors (including expanding training programs)
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of Buildings (DOB),Expense,Building code and zoning enforcement,Expand code enforcement
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of Buildings (DOB),Capital,Building code and zoning enforcement,Other capital budget request for DOB
"Housing, Economic Development, and Land Use",Needs for Land Use,Department of Buildings (DOB),Expense,Building code and zoning enforcement,Other expense budget request for DOB
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,"Provide, expand, or enhance loan programs to rehabilitate multiple dwelling buildings"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Provide more housing for extremely low and low income households
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Provide more housing for medium income households
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Provide more housing for seniors
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,"Provide more housing for special needs households, such as the formerly homeless"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Affordable housing programs,"Provide, expand, or enhance rental subsidies programs"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Affordable housing programs,"Provide, expand, or enhance community outreach on HPD programs and services"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Affordable housing programs,"Provide, expand, or enhance programs for homeowners and first-time homebuyers"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,"Provide, expand, or enhance programs for housing inspections to correct code violations"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,"Provide, expand, or enhance tenant protection programs"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,Other housing oversight and emergency housing programs
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,"Provide, expand, or enhance emergency housing programs for households displaced by fires or City-issued vacate orders"
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Other capital budget request for HPD
"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Affordable housing programs,Other expense budget request for HPD
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Expense,Housing support,Expand the Section 8 Program
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Expense,Housing support,Other housing support requests
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Expense,"Public housing maintenance, staffing and management",Improve public housing maintenance and cleanliness
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Expense,"Public housing maintenance, staffing and management","Other public housing maintenance, staffing and management requests"
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Create more housing on NYCHA properties
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Increase energy efficiency and environmental performance of NYCHA developments
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Install recycling facilities at NYCHA developments
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Install security cameras or make other safety upgrades
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Other public housing upgrades or renovations requests
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Renovate or upgrade NYCHA community facilities or open space
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Renovate or upgrade public housing developments
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Capital,Public housing upgrades or renovations,Other capital budget request for NYCHA
"Housing, Economic Development, and Land Use",Needs for Housing,New York City Housing Authority (NYCHA),Expense,Public housing upgrades or renovations,Other expense budget request for NYCHA
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development investments,Expand programming and activation of City-owned sites
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development investments,Improve city-owed NYC public markets
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Capital,Economic development investments,Invest in capital projects to improve access to waterfront 
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Capital,Economic development investments,Invest in infrastructure that will support growth in commercial business districts  
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development investments,Expand clean space initiatives for public sites and graffiti free removal program for private sites along commercial business corridors
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Capital,Economic development investments,Other capital budget request for EDC
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Capital,Economic development programs,"Build or expand affordable work or research lab spaces related to key industries, such as film/tv, advanced manufacturing, life science and healthcare, renewable energy and freight maritime"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development programs,"Expand programs in emerging and legacy industries, e.g. fashion, film, advanced and food manufacturing, life sciences and healthcare, offshore wind, freight, and maritime"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development programs,Expand programs to support MWBE-owned firms and businesses
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development programs,Other expense budget request for EDC
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Tax and other incentives programs and financing support,"Invest in access to low cost financing and financial incentives to help businesses construct or improve space, job creation and retention, and catalyze new capital investment"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Tax and other incentives programs and financing support,Invest in financial incentives and low cost financing for job creation and retention
"Housing, Economic Development, and Land Use",Needs for Economic Development,Economic Development Corporation (EDC),Expense,Economic development investments,Invest in planning for transportation-oriented infrastructure
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Business regulatory assistance,Assist with on-site business compliance with City regulations
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Business regulatory assistance,Other business regulatory assistance requests
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Business regulatory assistance,Provide or expand assistance to obtain licenses and permits
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Business regulatory assistance,Provide or expand business recovery assistance after an emergency
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Conduct a commercial district needs assessment
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Conduct BID Feasibility Analysis or support BID Formation Planning for a selected commercial district
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Other commercial district revitalization requests
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Support development of local Storefront / Facade Improvement Program
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,"Support local CBO's efforts to improve a public space through management, maintenance and programming"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,"Support local CBO's efforts to provide or expand district marketing, branding, and promotion"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Support local CBO's efforts to provide or expand retail attraction and retention assistance
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Support merchant organizing
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Commercial district revitalization,Support non-profit organizational development and capacity building
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Deploy Mobile Outreach Unit or Chamber On-the-Go to provide business services
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Help minority- and women-owned businesses grow their capacity
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,"Increase certification support for minority-, women-owned, local and emerging businesses"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,"Provide assistance to minority-, women-owned businesses on contracting with the City"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Provide commercial lease support for business owners
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Provide disaster and resiliency preparation for small businesses
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Provide information about incentive programs and energy savings
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,"Provide information on how to sell to federal, state and City government"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Provide or expand access to capital
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Provide or expand business education to businesses and entrepreneurs
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Support emerging entrepreneurs and new small businesses
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,"Support immigrant, M/WBE, and veteran-owned businesses"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,"Support local, long-standing businesses"
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Support recruitment or hiring of employees
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Workforce development,Deploy Mobile Outreach Unit to provide workforce services
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Workforce development,Help job seekers connect to employment
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Workforce development,Other workforce development requests
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Workforce development,Provide or expand occupational skills training programs
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Capital,Direct business services,Other capital budget request for SBS
"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Direct business services,Other expense budget request for SBS
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Ferries,Expand the frequency or hours of Staten Island Ferry
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Address traffic congestion
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Conduct traffic or parking studies
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Traffic and traffic flow,"Improve traffic and pedestrian safety, including traffic calming"
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Other traffic improvement requests
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Other expense budget request for DOT
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Transportation infrastructure,Add street signage or wayfinding elements
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Improve mobility options, including bike share and car share"
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Install Real Time Passenger Information signs
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Install streetscape improvements
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Other transportation infrastructure requests
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Transportation infrastructure,Provide new bike lanes
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Transportation infrastructure,Provide new traffic or pedestrian signals
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Reconstruct streets
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Rehabilitate bridges
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new seawalls or bulkheads
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps"
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct medians, or other street assets"
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Roadway maintenance (resurfacing, trench restoration, etc.)"
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Upgrade or create new greenways
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Upgrade or create new plazas
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Upgrade or provide new Select Bus Service (SBS) routes
Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Other capital budget request for DOT
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,"Improve accessibility of transit infrastructure, by providing elevators, escalators, etc."
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,Other transit infrastructure requests
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,Repair or upgrade subway stations or other transit infrastructure
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,Expand bus service frequency or hours of operation
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,Expand subway service frequency or hours of operations
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,"Improve bus cleanliness, safety or maintenance"
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,"Improve subway station or train cleanliness, safety and maintenance"
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit service,Other transit service requests
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,Provide a new bus service or Select Bus Service
Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,Other capital budget request for NYCTA
Transportation and Mobility,Needs for Transit Services,Taxi and Limousine Commission (TLC),Capital,Other transit needs,Other capital budget request for TLC
Transportation and Mobility,Needs for Transit Services,Taxi and Limousine Commission (TLC),Expense,Other transit needs,Other expense budget request for TLC
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,Park maintenance and safety,"Enhance park safety through design interventions, e.g. better lighting "
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Enhance park safety through more security staff (police or parks enforcement)
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Improve trash removal and cleanliness
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,Park maintenance and safety,New equipment for maintenance
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,New equipment for maintenance 
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Other expense budget request for DPR
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Other park maintenance and safety requests
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Provide better park maintenance
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Improve the quality/staffing of existing programs offered in parks or recreational centers
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Other park programming requests
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,"Provide more athletic programming (i.e. league, aquatic)"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Provide more educational programming in Computer Resource Center
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Provide more environmental education programming (i.e. Urban Park Rangers)
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Provide more programs in parks or recreational centers
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park programming,Provide new type and/or specific type of program
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements",Improve access to a building in a park
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Improve access to a park or amenity (i.e. playground, outdoor athletic field)"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements",Other capital budget request for DPR
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Other requests for park, building, or access improvements"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Provide a new, or new expansion to, a building in a park"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements",Reconstruct or upgrade a building in a park
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Street trees and forestry services,"Forestry services, including street tree maintenance"
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Street trees and forestry services,Other street trees and forestry services requests
"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Street trees and forestry services,Plant new street trees
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Capital,Cultural facilities and resources,Other cultural facilities and resources requests
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other cultural facilities and resources requests 
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Provide more public art
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Capital,Cultural facilities and resources,Purchase equipment for cultural facility
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Capital,Cultural facilities and resources,Renovate or upgrade an existing cultural facility
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other expense budget request for DCLA
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Landmarks Preservation Commission (LPC),Expense,Landmarks and preservation,Expand staffing and program related services
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Landmarks Preservation Commission (LPC),Expense,Landmarks and preservation,Other staffing and program related requests
"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Landmarks Preservation Commission (LPC),Expense,Landmarks and preservation,Other expense budget request for LPC
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Brooklyn Public Library (BPL),Capital,"Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library"
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Brooklyn Public Library (BPL),Expense,"Library facilities, equipment and programs",Extend library hours or expand and enhance library programs
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Brooklyn Public Library (BPL),Capital,"Library facilities, equipment and programs",Provide more or better equipment to a library
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Capital,"Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library"
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Expense,"Library facilities, equipment and programs","Extend library hours, expand library programs, and enhance library collections"
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Capital,"Library facilities, equipment and programs","Provide new or replacement equipment to a library, including technology"
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Capital,"Library facilities, equipment and programs",Other capital budget request for NYPL
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Expense,"Library facilities, equipment and programs",Other expense budget request for NYPL
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Expense,"Library facilities, equipment and programs",Maintain library hours and/or days of service
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Queens Library (QL),Capital,"Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library"
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Queens Library (QL),Expense,"Library facilities, equipment and programs",Extend library hours or expand and enhance library programs
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Queens Library (QL),Capital,"Library facilities, equipment and programs",Provide more or better equipment to a library
"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Queens Library (QL),Expense,"Library facilities, equipment and programs",Other expense budget request for QPL
